Date,Asset,Adjusted Close
2020-11-12,Reliance Industries,893.6619262695312
2020-11-13,Reliance Industries,901.06396484375
2020-11-14,Reliance Industries,903.7269287109375
2020-11-17,Reliance Industries,899.642333984375
2020-11-18,Reliance Industries,896.91162109375
2020-11-19,Reliance Industries,890.5701904296875
2020-11-20,Reliance Industries,857.3287353515625
2020-11-23,Reliance Industries,880.4376220703125
2020-11-24,Reliance Industries,886.4630126953125
2020-11-25,Reliance Industries,879.128662109375
2020-11-26,Reliance Industries,881.2951049804688
2020-11-27,Reliance Industries,871.0045166015625
2020-12-01,Reliance Industries,882.3331909179688
2020-12-02,Reliance Industries,883.8001098632812
2020-12-03,Reliance Industries,886.4630126953125
2020-12-04,Reliance Industries,878.65478515625
2020-12-07,Reliance Industries,883.8226318359375
2020-12-08,Reliance Industries,899.867919921875
2020-12-09,Reliance Industries,914.8526000976562
2020-12-10,Reliance Industries,905.8482055664062
2020-12-11,Reliance Industries,905.306640625
2020-12-14,Reliance Industries,898.7620849609375
2020-12-15,Reliance Industries,891.1118774414062
2020-12-16,Reliance Industries,892.1047973632812
2020-12-17,Reliance Industries,896.189453125
2020-12-18,Reliance Industries,898.875
2020-12-21,Reliance Industries,875.4727172851562
2020-12-22,Reliance Industries,874.1188354492188
2020-12-23,Reliance Industries,877.3458862304688
2020-12-24,Reliance Industries,900.0485229492188
2020-12-28,Reliance Industries,904.1783447265625
2020-12-29,Reliance Industries,898.197998046875
2020-12-30,Reliance Industries,900.6577758789062
2020-12-31,Reliance Industries,896.0540771484375
2021-01-01,Reliance Industries,897.0470581054688
2021-01-04,Reliance Industries,898.5590209960938
2021-01-05,Reliance Industries,887.3883056640625
2021-01-06,Reliance Industries,863.9861450195312
2021-01-07,Reliance Industries,862.5869140625
2021-01-08,Reliance Industries,872.7646484375
2021-01-11,Reliance Industries,856.3131713867188
2021-01-12,Reliance Industries,883.3036499023438
2021-01-13,Reliance Industries,875.0665283203125
2021-01-14,Reliance Industries,884.9058837890625
2021-01-15,Reliance Industries,874.457275390625
2021-01-18,Reliance Industries,895.4447631835938
2021-01-19,Reliance Industries,910.0908813476562
2021-01-20,Reliance Industries,927.3773803710938
2021-01-21,Reliance Industries,947.552490234375
2021-01-22,Reliance Industries,925.0755615234375
2021-01-25,Reliance Industries,876.0595092773438
2021-01-27,Reliance Industries,855.2977294921875
2021-01-28,Reliance Industries,846.9703369140625
2021-01-29,Reliance Industries,831.3538208007812
2021-02-01,Reliance Industries,855.43310546875
2021-02-02,Reliance Industries,869.1991577148438
2021-02-03,Reliance Industries,871.38818359375
2021-02-04,Reliance Industries,868.5220336914062
2021-02-05,Reliance Industries,868.2738037109375
2021-02-08,Reliance Industries,880.776123046875
2021-02-09,Reliance Industries,882.8973999023438
2021-02-10,Reliance Industries,891.0892333984375
2021-02-11,Reliance Industries,927.8287963867188
2021-02-12,Reliance Industries,921.4647827148438
2021-02-15,Reliance Industries,917.402587890625
2021-02-16,Reliance Industries,929.5438232421875
2021-02-17,Reliance Industries,940.2633056640625
2021-02-18,Reliance Industries,933.244873046875
2021-02-19,Reliance Industries,938.9318237304688
2021-02-22,Reliance Industries,906.3447265625
2021-02-23,Reliance Industries,913.2728881835938
2021-02-24,Reliance Industries,930.2208862304688
2021-02-25,Reliance Industries,967.8405151367188
2021-02-26,Reliance Industries,941.4142456054688
2021-03-01,Reliance Industries,948.5906372070312
2021-03-02,Reliance Industries,950.5313720703125
2021-03-03,Reliance Industries,993.9056396484375
2021-03-04,Reliance Industries,982.0576782226562
2021-03-05,Reliance Industries,983.3440551757812
2021-03-08,Reliance Industries,988.9407958984375
2021-03-09,Reliance Industries,988.9180908203125
2021-03-10,Reliance Industries,984.8108520507812
2021-03-12,Reliance Industries,964.7939453125
2021-03-15,Reliance Industries,951.8402099609375
2021-03-16,Reliance Industries,948.0941162109375
2021-03-17,Reliance Industries,927.6707153320312
2021-03-18,Reliance Industries,906.7960815429688
2021-03-19,Reliance Industries,939.6990356445312
2021-03-22,Reliance Industries,930.8526611328125
2021-03-23,Reliance Industries,942.1814575195312
2021-03-24,Reliance Industries,924.0374755859375
2021-03-25,Reliance Industries,898.8297729492188
2021-03-26,Reliance Industries,900.274169921875
2021-03-30,Reliance Industries,915.9132690429688
2021-03-31,Reliance Industries,904.0880737304688
2021-04-01,Reliance Industries,912.5506591796875
2021-04-05,Reliance Industries,899.3489379882812
2021-04-06,Reliance Industries,895.602783203125
2021-04-07,Reliance Industries,903.9751586914062
