Simulation,Terminal Portfolio Value,Profit or Loss
196,1059330.08057688,59330.080576879904
197,981073.0878992765,-18926.91210072348
198,1114755.5122720434,114755.51227204339
199,1018500.6586783336,18500.658678333624
200,1092546.2959909448,92546.29599094484
201,930087.134248074,-69912.86575192597
202,1096221.6182717788,96221.6182717788
203,854379.3683277104,-145620.63167228957
204,1089406.5302911107,89406.53029111074
205,1160774.6065440665,160774.60654406645
206,891123.4731177246,-108876.52688227536
207,981657.7001460809,-18342.299853919074
208,1089444.287379495,89444.2873794951
209,979971.1648684602,-20028.835131539847
210,986480.8118951813,-13519.188104818691
211,1096749.2763202675,96749.27632026747
212,1043048.2270043875,43048.22700438753
213,1033959.4395879487,33959.43958794873
214,1094064.251570581,94064.251570581
215,1127077.8849039942,127077.88490399416
216,950157.0433774701,-49842.95662252989
217,904917.315692366,-95082.68430763402
218,1089380.8283301224,89380.8283301224
219,987623.0338479908,-12376.966152009205
220,1092513.9552969628,92513.95529696275
221,917276.8058284735,-82723.19417152647
222,949076.6708730554,-50923.32912694465
223,902902.5994878929,-97097.40051210707
224,1046932.772184354,46932.77218435402
225,908484.3529860285,-91515.64701397147
226,981612.0863157219,-18387.913684278145
227,1002128.2840141461,2128.2840141460765
228,1060601.4893544787,60601.48935447866
229,1012093.9961668387,12093.996166838682
230,1019362.4422994268,19362.442299426766
231,1104477.7770470525,104477.77704705251
232,1064958.0574502468,64958.057450246764
233,1137733.786869731,137733.78686973103
234,1115800.938674503,115800.938674503
235,1016139.7315695479,16139.731569547905
236,997752.7056904564,-2247.294309543562
237,970049.7433500363,-29950.256649963674
238,974150.4575528362,-25849.54244716384
239,944469.7780639107,-55530.221936089336
240,1003496.4976673439,3496.497667343938
241,1020633.3239622028,20633.32396220276
242,971999.6095859847,-28000.390414015274
243,945363.8593597464,-54636.14064025355
244,1006186.2788746629,6186.278874662938
245,980215.3718217211,-19784.628178278916
246,997205.2844537016,-2794.715546298423
247,1157644.6459921536,157644.64599215356
248,994999.1520526661,-5000.847947333939
249,1038971.5669477135,38971.566947713494
250,948631.5670139607,-51368.43298603932
251,967375.7885685188,-32624.211431481177
252,1076028.5769106653,76028.57691066526
253,1010805.7436269446,10805.743626944604
254,1043390.0935141911,43390.0935141911
255,1036139.994262099,36139.99426209903
256,1038950.2155995924,38950.215599592426
257,1043852.1850961288,43852.185096128844
258,1025394.6412230693,25394.64122306928
259,1082995.6794732555,82995.67947325553
260,1040260.4138509182,40260.41385091818
261,1080777.0234710544,80777.02347105439
262,980836.8590224676,-19163.14097753237
263,1016719.2656597557,16719.265659755678
264,1011175.6346221861,11175.634622186073
265,1052271.4292066346,52271.42920663464
266,1023448.9773039381,23448.977303938125
267,1087400.99237056,87400.99237056007
268,1014279.3994154029,14279.399415402906
269,930994.758397204,-69005.24160279601
270,901214.4419919805,-98785.55800801946
271,1050580.8341283374,50580.83412833745
272,920531.9775440809,-79468.02245591907
273,915616.0581882782,-84383.94181172177
274,1019681.3027654968,19681.302765496774
275,1010158.3103608063,10158.310360806296
276,1032944.6825769903,32944.68257699034
277,1202519.8366787015,202519.83667870145
278,1074964.4963393165,74964.49633931648
279,1059035.3986301098,59035.39863010985
280,1161802.703230154,161802.703230154
281,1053232.493541362,53232.493541362
282,1025064.2889744904,25064.288974490366
283,1042897.6969370589,42897.696937058936
284,1040289.846717549,40289.84671754902
285,969231.7142564462,-30768.285743553774
286,931974.4611636699,-68025.53883633006
287,1000680.6090412395,680.6090412394842
288,1101012.380975156,101012.38097515609
289,1117084.556369182,117084.55636918196
290,996207.4198674805,-3792.580132519477
291,1005185.9266986544,5185.926698654424
292,1014830.207989135,14830.207989134942
293,1092665.613141817,92665.61314181704
294,921952.2259772203,-78047.77402277966
295,1020997.7888593858,20997.788859385764
296,1014275.2124812257,14275.212481225724
297,883818.3485737769,-116181.6514262231
298,1098645.320430891,98645.32043089089
299,1044609.880642567,44609.880642566946
300,962165.0175760263,-37834.982423973735
301,1030498.2218273772,30498.221827377216
302,1046308.3632495735,46308.36324957351
303,981969.8824054396,-18030.117594560375
304,1003948.6126906559,3948.612690655864
305,1242599.7179285164,242599.71792851645
306,1185217.232116902,185217.232116902
307,1082801.7828143279,82801.78281432786
308,1037475.2929170564,37475.29291705636
309,1019297.0868304117,19297.08683041169
310,1111651.1986797492,111651.19867974916
311,1063702.9415556826,63702.94155568257
312,857050.4974628042,-142949.5025371958
313,1028311.3627370992,28311.362737099174
314,1006421.3151885994,6421.315188599401
315,998178.4268411439,-1821.573158856132
316,992312.13281331,-7687.867186689982
317,1053629.946969051,53629.946969050914
318,1000746.9652291428,746.9652291428065
319,1060737.1435026005,60737.14350260049
320,953573.1281726434,-46426.871827356634
321,922124.2928787845,-77875.70712121553
322,1069916.2513535682,69916.25135356816
323,963374.0451364003,-36625.954863599734
324,982404.9977356322,-17595.002264367766
325,1080102.3114183575,80102.31141835754
326,1015642.9269818324,15642.926981832366
327,1213406.180289069,213406.18028906896
328,1104285.5596653428,104285.5596653428
329,1051332.4114163127,51332.41141631268
330,1108831.8243139256,108831.82431392558
331,1020976.7458578456,20976.745857845643
332,990935.5616836667,-9064.43831633334
333,939416.9675861135,-60583.03241388651
334,967753.6983033959,-32246.301696604118
335,1045355.4346056861,45355.43460568611
336,960519.8322558954,-39480.167744104634
337,971502.169948898,-28497.830051101977
338,983710.4356152083,-16289.56438479165
339,1052111.0517147162,52111.051714716246
340,976862.037860509,-23137.962139490992
341,1091818.7205761592,91818.72057615919
342,948660.5232937399,-51339.47670626012
343,1044149.5320521046,44149.532052104594
344,964817.9645145901,-35182.0354854099
345,1045404.7437947793,45404.74379477929
346,1085452.9043015244,85452.9043015244
347,959931.4032206514,-40068.59677934856
348,1032850.2517183886,32850.25171838864
349,965369.3315400492,-34630.66845995083
350,1081255.9201323262,81255.9201323262
351,927497.1777691446,-72502.82223085535
352,991256.9503845912,-8743.04961540876
353,1002042.5028052502,2042.5028052502312
354,1106381.2899059523,106381.28990595229
355,1059021.4092205872,59021.40922058723
356,1083910.8181682338,83910.81816823385
357,1199231.6902969729,199231.69029697287
358,1020324.5829863175,20324.58298631746
359,1019786.9360979872,19786.93609798723
360,990500.3503930743,-9499.649606925668
361,1086845.3582964318,86845.35829643183
362,1049640.9854399937,49640.985439993674
363,1062262.5329447347,62262.532944734674
364,982314.0975946743,-17685.902405325673
365,1122932.3522022665,122932.35220226645
366,1040351.8058514361,40351.805851436104
367,1069251.7879932292,69251.78799322923
368,1077757.0753375532,77757.07533755316
369,1071045.509700874,71045.5097008741
370,952980.731382854,-47019.26861714595
371,912512.5787608301,-87487.4212391699
372,1107689.6954083876,107689.69540838758
373,1091790.020801339,91790.02080133907
374,1096849.5769839569,96849.57698395685
375,1059350.142673851,59350.14267385099
376,1085920.53953184,85920.53953184001
377,1140762.6562932285,140762.6562932285
378,857702.4208947292,-142297.5791052708
379,954612.1485344539,-45387.85146554606
380,985403.3754270556,-14596.624572944362
381,1023707.5240386071,23707.52403860714
382,1024625.8867666312,24625.886766631156
383,991616.9647481882,-8383.035251811845
384,1151659.049687753,151659.04968775297
385,1018445.9233213654,18445.92332136538
386,927632.766238828,-72367.23376117204
387,1046473.2907537337,46473.290753733716
388,1026983.6182600291,26983.61826002912
389,965379.9871362197,-34620.012863780255
390,952794.8599875531,-47205.14001244691
391,1096973.5310957895,96973.53109578951
392,944496.6653110154,-55503.334688984556
393,1040483.5129519246,40483.51295192458
394,992106.4013383904,-7893.598661609576
395,943847.6013136571,-56152.39868634287
396,972520.9593322349,-27479.040667765075
397,992559.7205961341,-7440.279403865919
398,1030502.5522816045,30502.552281604498
399,968224.4854631153,-31775.51453688473
400,1062767.4932724058,62767.493272405816
401,1019716.5715836922,19716.571583692217
402,1111530.7532072947,111530.75320729474
403,1130698.2106960102,130698.21069601015
404,934133.8289113436,-65866.17108865641
405,942027.8612800371,-57972.13871996291
406,1009931.2220631136,9931.222063113586
407,1054207.7934673352,54207.79346733517
408,1065281.0229331374,65281.02293313737
409,1091416.8836011975,91416.8836011975
410,1017493.5672440752,17493.56724407524
411,1081978.1402029057,81978.14020290575
412,945803.7008835957,-54196.29911640426
413,911151.6026471261,-88848.39735287393
414,930549.0112834537,-69450.98871654633
415,1066107.474080126,66107.47408012603
416,1094946.863646463,94946.86364646303
417,954343.0061636809,-45656.993836319074
418,1035458.8221237839,35458.82212378387
419,965467.0476015494,-34532.95239845058
420,1006186.1576400108,6186.157640010817
421,1034710.2214964177,34710.22149641765
422,929930.0069017797,-70069.99309822032
423,998450.7128028501,-1549.2871971499408
424,1016844.0874462272,16844.087446227204
425,978413.3024979944,-21586.697502005612
426,962946.1680464266,-37053.83195357339
427,1081752.335444538,81752.33544453792
428,939578.8807006497,-60421.11929935031
429,955511.2059123014,-44488.79408769857
430,949299.7147113911,-50700.285288608866
431,980194.4863342562,-19805.513665743754
432,1041171.8044302966,41171.804430296645
433,1105930.412822564,105930.4128225639
434,1051137.433214118,51137.433214118006
435,1109831.8760760534,109831.87607605336
436,954337.0864026301,-45662.913597369916
437,1010002.0372172563,10002.037217256264
438,974691.3939022312,-25308.60609776876
439,981785.3155834471,-18214.68441655289
440,1049080.3558783024,49080.35587830236
441,1029471.3794538763,29471.37945387629
442,991198.1499954521,-8801.850004547858
443,1006906.8858720203,6906.88587202027
444,1037420.3745619836,37420.374561983626
445,938097.1814892635,-61902.818510736455
446,982432.7849758449,-17567.2150241551
447,1059549.8225641963,59549.82256419631
448,1049789.5525571888,49789.552557188785
449,942532.3069598711,-57467.693040128914
450,1063862.103524014,63862.10352401389
451,1036952.2139346041,36952.21393460408
452,895353.2774012212,-104646.72259877878
453,946049.4988649805,-53950.50113501947
454,933447.8619714756,-66552.13802852435
455,1121309.5233420976,121309.52334209764
456,1066271.5457904788,66271.54579047882
457,1099367.2028898012,99367.20288980124
458,1138777.2748674618,138777.27486746176
459,1124996.271071105,124996.27107110503
460,975614.398257282,-24385.60174271802
461,1112359.9737115598,112359.97371155978
462,1066734.9132585656,66734.91325856559
463,992789.4749053082,-7210.52509469178
464,1028596.6310768422,28596.631076842197
465,1058286.2959963235,58286.29599632346
466,1037159.0702947202,37159.07029472024
467,949368.1175767632,-50631.88242323685
468,1061024.4663310628,61024.46633106284
469,1055234.567429502,55234.56742950203
470,1005180.1805684455,5180.180568445474
471,943162.106847832,-56837.89315216802
472,1091742.513705081,91742.51370508107
473,1078160.8674312355,78160.8674312355
474,935803.5710752509,-64196.42892474914
475,878415.7210193969,-121584.27898060309
476,1196086.7690838994,196086.76908389945
477,984211.355799562,-15788.644200438051
478,1022870.3129830636,22870.31298306363
479,1011740.4960261188,11740.496026118752
480,959725.3074351344,-40274.692564865574
481,1123277.8831206618,123277.88312066183
482,1022188.5192263667,22188.519226366654
483,904777.2597049336,-95222.74029506638
484,1087513.9707776369,87513.97077763686
485,1014288.8957534914,14288.895753491437
486,1078685.0703694664,78685.07036946644
487,1100521.469469301,100521.46946930094
488,1110359.7086327316,110359.70863273158
489,996821.4508668137,-3178.549133186345
490,1075294.7840875254,75294.78408752545
491,1074428.5323377335,74428.53233773354
492,916295.5248085189,-83704.47519148106
493,936784.4004948535,-63215.5995051465
494,1043537.5195866261,43537.51958662609
495,1018233.3434795856,18233.3434795856
496,1041524.1657707606,41524.16577076062
497,1100978.515664032,100978.51566403196
498,937339.1177779493,-62660.882222050685
499,1009083.0025065247,9083.002506524674
500,945845.9648602838,-54154.03513971623
501,1065171.3394545107,65171.339454510715
502,1056966.4596838478,56966.45968384785
503,988582.0197056358,-11417.980294364155
504,1014921.6826213956,14921.682621395565
505,1091157.597970037,91157.59797003702
506,1023847.214894929,23847.21489492897
507,915191.2093507805,-84808.79064921953
508,1094924.1363327254,94924.13633272541
509,956173.0994150501,-43826.90058494988
510,1017161.5994311218,17161.59943112184
511,1056830.684387177,56830.684387176996
512,1105432.7476871465,105432.74768714653
513,1107570.344307132,107570.34430713207
514,1013926.776531882,13926.776531882002
515,934334.4949410001,-65665.50505899987
516,1003087.4163605499,3087.4163605498616
517,965033.7210917474,-34966.2789082526
518,1075322.2416953614,75322.24169536144
519,1055327.372689448,55327.372689448064
520,1083863.5836862475,83863.58368624747
521,1018525.3658583881,18525.365858388133
522,1080982.9746456766,80982.97464567656
523,1083598.3197080486,83598.3197080486
524,997416.2133271586,-2583.7866728414083
525,1077150.5555053006,77150.55550530064
526,1004745.4972405507,4745.4972405507
527,1017969.5584089836,17969.558408983634
528,1059660.269618555,59660.26961855497
529,1010439.8328902156,10439.832890215563
530,978147.0246838123,-21852.975316187716
531,965160.9756634285,-34839.024336571456
532,946767.0940119259,-53232.90598807414
533,952038.280868962,-47961.71913103794
534,1021725.3470468519,21725.34704685188
535,1084861.6506272706,84861.65062727057
536,1033652.0523094961,33652.052309496095
537,909573.9394310887,-90426.06056891126
538,1089894.0025125786,89894.00251257862
539,905541.7570897436,-94458.24291025638
540,1059928.8797637643,59928.87976376433
541,924248.8357762008,-75751.16422379925
542,1084319.2661133658,84319.26611336577
543,997565.9186484603,-2434.081351539702
544,970180.6993034971,-29819.300696502905
545,922465.8987774362,-77534.10122256377
546,961715.2388096061,-38284.76119039394
547,1071942.7090444984,71942.70904449839
548,1005310.4299264646,5310.429926464567
549,961900.8078791017,-38099.19212089828
550,1059655.5431857721,59655.54318577214
551,1061605.0085821988,61605.00858219876
552,930511.4487282675,-69488.55127173255
553,1159238.7343689085,159238.73436890845
554,892787.6263563255,-107212.37364367454
555,845323.0455048507,-154676.95449514932
556,970975.0114331751,-29024.988566824934
557,1001215.1802979799,1215.1802979798522
558,979559.289876426,-20440.710123574012
559,968672.2127949146,-31327.78720508539
560,1012388.7851845736,12388.785184573615
561,1039473.3854576086,39473.385457608616
562,1039046.1954516479,39046.19545164786
563,1003596.8698741983,3596.869874198339
564,896463.1560047793,-103536.84399522073
565,1005264.4469984387,5264.4469984386815
566,1219555.3185990187,219555.31859901873
567,984062.755491022,-15937.24450897798
568,995840.3427317424,-4159.657268257579
569,924530.3543633252,-75469.64563667483
570,885185.3736555383,-114814.62634446169
571,1035464.7483940051,35464.74839400512
572,1015334.4176138934,15334.417613893398
573,1067951.1949969484,67951.19499694835
574,982617.3758431984,-17382.624156801612
575,1100204.7792623683,100204.77926236833
576,983608.5073703725,-16391.492629627464
577,945252.5125165961,-54747.48748340388
578,963546.106972001,-36453.89302799897
579,1005505.928272282,5505.928272282006
580,1001067.0049067212,1067.0049067211803
581,1098956.8636653034,98956.86366530345
582,1088508.0076084146,88508.00760841463
583,961643.1960471511,-38356.80395284889
584,1107893.3332778022,107893.33327780222
585,1014969.5763458657,14969.576345865731
586,1084381.6576953072,84381.65769530716
587,1037865.5285034965,37865.52850349655
588,1072201.0372937755,72201.03729377547
589,1100842.0852254268,100842.08522542682
590,961618.4878279136,-38381.5121720864
591,998108.419513189,-1891.580486810999
592,902296.5628716284,-97703.43712837156
593,1071641.8506841713,71641.85068417131
594,984956.9413171596,-15043.058682840434
595,973513.2405521143,-26486.759447885677
596,965357.1666088983,-34642.83339110168
597,951785.0457271907,-48214.95427280932
598,1023901.4638904112,23901.463890411193
599,1117104.4026830944,117104.40268309438
600,1105303.7994785854,105303.79947858537
601,1215127.9120809203,215127.9120809203
602,976726.3633181183,-23273.636681881733
603,1093272.8281497334,93272.82814973337
604,937191.0544312224,-62808.94556877762
605,1050946.4982516791,50946.49825167912
606,1046426.5555332255,46426.55553322553
607,992192.376179522,-7807.62382047798
608,1119456.4554982437,119456.45549824368
609,1036583.4096339995,36583.40963399946
610,1037597.4307567935,37597.430756793474
611,963268.819574781,-36731.180425219005
612,894650.8581532175,-105349.14184678253
613,965971.4008291967,-34028.599170803325
614,982108.8141828574,-17891.1858171426
615,809945.555408817,-190054.44459118298
616,1128296.1020317064,128296.10203170637
617,1030547.3560801861,30547.356080186088
618,1004394.7824503259,4394.7824503259035
619,1141515.3809844337,141515.3809844337
620,1083637.1498701668,83637.14987016679
621,1087356.3516235664,87356.35162356636
622,1042170.9481100232,42170.948110023164
623,1010762.6479732834,10762.647973283427
624,977635.3141270373,-22364.6858729627
625,978755.461820969,-21244.53817903099
626,996617.9189419121,-3382.081058087875
627,990139.010280981,-9860.989719019039
628,984738.5954371046,-15261.404562895419
629,1015170.7067450768,15170.706745076808
630,1065010.892710709,65010.89271070901
631,1032022.6391888887,32022.639188888716
632,940826.0270680498,-59173.97293195024
633,907155.3504286594,-92844.64957134065
634,1036933.6782087344,36933.678208734374
635,1065203.0577609183,65203.05776091828
636,971394.1925673785,-28605.807432621485
637,1090465.1750873893,90465.1750873893
638,1002492.07265496,2492.0726549599785
639,1040995.3967637368,40995.39676373685
640,979145.8916327939,-20854.108367206063
641,1040595.5160050535,40595.516005053534
642,946298.1223282405,-53701.87767175946
643,1068512.7794750056,68512.77947500558
644,969631.9749015816,-30368.02509841835
645,980399.1738056306,-19600.82619436935
646,1060407.02810032,60407.028100319905
647,934071.0065491665,-65928.99345083348
648,1000278.4477227347,278.4477227346506
649,1108702.1403275202,108702.1403275202
650,1034886.283538683,34886.28353868297
651,1018651.362262087,18651.362262086943
652,1154051.97832879,154051.97832879005
653,954090.0485790824,-45909.95142091764
654,909750.2482652195,-90249.7517347805
655,1194749.5198104144,194749.5198104144
656,1130464.9620045277,130464.96200452768
657,1007932.1885607236,7932.18856072356
658,993029.5647596192,-6970.435240380815
659,1062104.8435110461,62104.84351104614
660,1034660.0447790705,34660.04477907054
661,1020976.739481065,20976.739481064957
662,908248.403879748,-91751.59612025204
663,1042958.03823906,42958.03823905997
664,1139279.3708768212,139279.37087682122
665,913911.7923215689,-86088.20767843106
666,1074783.3502707544,74783.35027075442
667,962015.2607495895,-37984.739250410465
668,1131475.0743377858,131475.07433778583
669,1048104.2676289342,48104.267628934234
670,944945.0455401385,-55054.9544598615
671,1032523.6820357748,32523.682035774807
672,1069618.1959292092,69618.19592920924
673,1023311.8229438658,23311.822943865787
674,916286.6344671642,-83713.36553283583
675,1058491.5235297529,58491.523529752856
676,1031395.6415118409,31395.641511840862
677,1040147.4367601831,40147.436760183075
678,1092848.3464578695,92848.34645786951
679,1039037.6636832168,39037.663683216786
680,959904.7195884412,-40095.28041155881
681,913734.2782447417,-86265.72175525827
682,979001.8978193164,-20998.102180683636
683,1161875.5739390082,161875.57393900817
684,1066020.032180268,66020.03218026808
685,1072232.6796314402,72232.6796314402
686,1005940.2328374783,5940.232837478281
687,967630.7133729012,-32369.2866270988
688,1058807.9999612982,58807.99996129819
689,1037856.0775467693,37856.07754676929
690,1014884.2011504822,14884.201150482171
691,939324.9351231909,-60675.064876809134
692,1181596.4811547243,181596.48115472426
693,895672.1076217233,-104327.89237827668
694,1118509.9028854594,118509.90288545936
695,997364.6293741285,-2635.3706258714665
696,1056897.3820975993,56897.38209759933
697,1035715.3011768932,35715.301176893176
698,1061659.7591732505,61659.759173250524
699,1056159.108991279,56159.108991279034
700,1050126.7433854286,50126.74338542856
701,916943.6916844848,-83056.30831551517
702,1021014.4738936615,21014.473893661518
703,1035046.1625398018,35046.16253980179
704,1006284.4501057378,6284.450105737778
705,1020204.7023033516,20204.7023033516
706,1080431.8390179956,80431.83901799563
707,1019433.7681161371,19433.76811613713
708,1003030.0198990838,3030.019899083767
709,953682.2464237894,-46317.75357621058
710,907483.7163561129,-92516.28364388715
711,1018679.2774705506,18679.277470550616
712,1030920.5589627766,30920.55896277656
713,1032358.9569309932,32358.95693099324
714,959764.7745782257,-40235.22542177432
715,1082834.156367976,82834.15636797599
716,1129752.6347296366,129752.6347296366
717,1004380.0774321548,4380.077432154794
718,1000144.0442592613,144.0442592613399
719,979108.8650840516,-20891.13491594838
720,1159349.8589667324,159349.8589667324
721,1014107.524785049,14107.524785049027
722,994539.1177841569,-5460.88221584307
723,958859.2782804988,-41140.72171950119
724,871197.5317391542,-128802.46826084575
725,1035771.707968143,35771.70796814305
726,1076175.247009748,76175.2470097479
727,1071361.4826162488,71361.48261624877
728,968710.2114150455,-31289.788584954455
729,1036571.4749730172,36571.47497301723
730,967670.3631695418,-32329.636830458185
731,1015822.1023246128,15822.102324612788
732,1006455.701038826,6455.701038826024
733,1036992.2569357124,36992.256935712416
734,1013336.3950978667,13336.395097866654
735,1029012.5315307525,29012.531530752545
736,1030285.8652752396,30285.865275239572
737,951412.8847209354,-48587.11527906463
738,1053983.821201915,53983.82120191492
